Termo,Título,Resumo,Palavras-chave,URL artigo
educação à distância,"GOOGLE SITES COMO FERRAMENTA DE ENSINO DE EDUCAÇÃO FÍSICA A DISTÂNCIA EM TEMPOS DE COVID-19: PEDAGOGIA, ESTRATÉGIAS, REFLEXÕES E BARREIRAS DE UM PROFESSOR","A covid-19 resultou na implementação de medidas de distanciamento social e fechamento de escolas no mundo. Este estudo explora alguns dos impactos, tais como escolhas pedagógicas, reflexões e barreiras do professor quando ele repentinamente mudou para um ambiente de ensino online e teve que ministrar aulas de Educação Física (EF) com o uso da tecnologia (Google Sites). A metodologia do autoestudo com análise temática foi utilizada para investigar as experiências do autor principal. Achados destacam como o professor teve que encontrar novas formas de ensino online, fazendo com que os alunos não estivessem exclusivamente em frente à tela, e atendesse as características sociais e dinâmicas da EF. Finalmente, as experiências e o processo de reflexão demonstraram a necessidade de ser coerente com as escolhas pedagógicas e abordagens teóricas e práticas como professor. Este artigo contribui para futuras formas de ensino de EF online, ao compreender a práxis de um professor.",Covid-19; Mudança social; Educação Física; Educação a distância; Auto estudo,https://www.scielo.br/j/mov/a/ybB5FqTbx5f5ydhqGzH3pMy/?lang=pt
educação à distância,ENSINO REMOTO PARA ESTUDANTES DO PÚBLICO-ALVO DA EDUCAÇÃO ESPECIAL NOS INSTITUTOS FEDERAIS,"m decorrência da pandemia da Covid-19 e das medidas de distanciamento social requeridas, as aulas presenciais foram suspensas no início de 2020. Diante desse novo contexto, o objetivo do estudo consistiu em analisar como ficou o ensino para os estudantes público-alvo da educação especial (PAEE) nos Institutos Federais de Educação, Ciência e Tecnologia (IFs). A abordagem exploratória e descritiva, do tipo pesquisa de levantamento, foi realizada junto a 156 docentes de diferentes campi dos IFs. A coleta de dados foi realizada por meio de questionário. Os dados obtidos foram sistematizados, organizados e analisados quantitativa e qualitativamente em categorias temáticas, acompanhando as variáveis do instrumento. Os resultados evidenciaram que os docentes buscaram diferentes alternativas no ensino remoto, tais como: planejar colaborativamente; adotar procedimentos diferenciados no planejamento específico; prever modificações na prática pedagógica; utilizar material didático e avaliações adaptadas etc. As tecnologias e o ambiente virtual foram considerados tanto em aspectos positivos quanto desafiadores. Conclui-se que a demanda para atender às necessidades educacionais dos estudantes PAEE no ensino remoto exigiu o replanejamento dos processos pedagógicos com diferentes ações que variaram a depender de cada instituto. Contudo, faltaram diretrizes para elaborar o plano de ensino individualizado, assim como maior articulação com os professores de educação especial, o que pode impactar a qualidade do ensino e a aprendizagem do PAEE. Sugere-se que outras pesquisas sejam desenvolvidas, buscando maior aprofundamento e a avaliação das experiências docentes durante o ensino remoto no contexto da pandemia.",inclusão escolar; covid-19; planejamento educacional; acessibilidade curricular; educação profissional,https://www.scielo.br/j/edur/a/HVbpYScg5kWBDg4Q6QsnnKc/?lang=ptt
educação à distância,"ENXADA, CANETA E MOUSE: O DIÁLOGO ENTRE TECNOLOGIAS NA FORMAÇÃO CONTINUADA DE PROFESSORES DO CAMPO NA MODALIDADE A DISTÂNCIA","A educação do campo é um direito cidadão, assim como a inclusão digital. A concepção teórica escolhida compreende que há diferentes saberes, diversas tecnologias e múltiplas possibilidades de colocá-las como parceiras nos processos de ensino e de aprendizagem. A pesquisa contou com a participação de quinze tutores e dois coordenadores do Curso de Especialização em Educação do Campo/UFMS/EaD. Também participou uma liderança do campo, professor e concluinte da primeira edição do Curso. A pesquisa enfatizou que as tecnologias eletrônico-digitais estão presentes no cotidiano do campo de MS, mas com diferentes níveis de qualidade ao acesso e aos equipamentos, sendo o aspecto mais comprometedor a internet. Mesmo assim, essas tecnologias se constituem como caminhos para a formação continuada, com o cuidado de não negarem os saberes do campo e não se contraporem ao tempo cíclico do plantio, da oralidade, da terra como espaço e expressão da vida em comunidade.",Educação do campo; Inclusão digital; Formação continuada; Ensino a distância,https://www.scielo.br/j/edur/a/PHWpVQZkpgJ3sCzHpRhMzqP/?lang=pt
educação à distância,TECNOLOGIAS E MEDIAÇÃO PEDAGOGICA NA EDUCAÇÃO SUPERIOR A DISTANCIA,"Este estudo investigou as percepções sobre limites e possibilidades do uso pedagógico das tecnologias na educação superior a distancia de docentes que atuam em um curso presencial de ciências contábeis. Realizou-se uma pesquisa descritiva - qualitativa, os dados foram coletados por meio de formulário online com questões “abertas” e analisados por meio da análise de conteúdo. Constatou-se que os benefícios da EaD, na visão dos docentes são “o acesso à educação superior”; a “flexibilização do tempo e do espaço”; a “autodisciplina e a autoaprendizagem do aluno”. Como pontos críticos citaram a “falta de formação para a inclusão digital do grupo de professores e alunos e a “dificuldade para promover a interação”. Como desafio citaram a “superação da ausência da relação direta aluno/professor, o “face-a-face”, típico da sala de aula; o “uso de estratégias e recursos que promovam a troca de experiências e a interação”; o “perfil do aluno”; a ”falta de maturidade” a “autodisciplina”. Conclui-se, assim, que, as mídias digitais são vistas pelos docentes ainda como instrumentos didáticos apenas, fato que dificulta uma leitura mais critica das tecnologias e a exploração de todo o potencial que possuem, principalmente como meio de expressão e de produção cultural.",Educação a distância; Mídias digitais; Formação docente; Educação contábil,https://www.scielo.br/j/jistm/a/5GM3chmQBwDdKcp3snZYFKc/?lang=pt
educação à distância,Educação a distância na formação profissional continuada de professores da educação básica: analisando contratos e destratos didáticos a partir de um estudo de caso,"Os conceitos de contrato e de destrato didáticos foram desenvolvidos por Lacerda Santos e Iunes (2013), em uma investigação sobre aspectos que facilitam a relação entre informática e educação - os chamados contratos didáticos - e sobre aqueles que dificultam o estabelecimento de tal relação - os chamados destratos didáticos. Neste texto, apresentamos uma discussão baseada nos resultados de uma observação participante de uma situação educativa virtual na qual contratos e destratos didáticos foram relacionados com indicadores de inclusão e de fluência digitais de professores da educação básica, condições imprescindíveis para o sucesso de toda e qualquer ação de formação profissional continuada mediada pelas Tecnologias Digitais de Informação, Comunicação e Expressão (TDICE). Trata-se do relato de um estudo de caso em que professores experientes e digitalmente incluídos foram colocados em situação de alunos de um curso de especialização a distância. As conclusões do estudo indicam a existência de um cenário ainda preocupante para a implantação de cursos de formação continuada em serviço, que têm a inclusão e a fluência digitais como prerrequisitos para o funcionamento dos cursos. Ressaltam-se também as dificuldades prementes na promoção da inclusão digital de professores, especialmente daqueles já engajados no mercado de trabalho, no exercício da profissão.",inclusão digital de professores; educação a distância; formação continuada de professores,https://www.scielo.br/j/er/a/HDhHVBhFrkyMLJBwBxVrDGs/?lang=pt
educação na pandemia,"O primeiro Curso Aberto, On-line e Massivo (Mooc) sobre Covid-19 e iniquidades no Brasil: potências da saúde coletiva no enfrentamento da infodemia e das fake news","A pandemia do novo coronavírus emergiu em momento de avanço do neoliberalismo, com o agravamento das desigualdades sociais, os poucos investimentos para a ciência, a expansão do negacionismo científico e a intensa produção de informações falsas (fake news). Os Cursos On-line Abertos e Massivos (Mooc) têm sido utilizados como estratégia para a difusão científica e o enfrentamento da infodemia, pois ampliam o acesso à informação e atingem um maior público. O objetivo do artigo foi apresentar a idealização, a concepção e o desenvolvimento do primeiro Mooc no campo da saúde coletiva sobre a Covid- 19 e iniquidades em saúde. Trata-se de um estudo descritivo sobre a ferramenta de ensino a distância. Durante os 12 meses de oferta, foram registradas 5.721 inscrições e 3.433 cursistas concluintes, com uma taxa de conclusão de 60%. O Mooc atuou de modo exitoso em um front de batalha de desentendimento, da infodemia e do embaralhamento de mentiras. Além disso, consolidou uma avaliação positiva de insti- tuições, que passam por grave crise de confiança. Destaca-se a propriedade de difusão científica massiva e combate às fake news sobre a Covid-19 do primeiro curso Mooc do gênero no País.",Covid-19; Iniquidade em saúde; Educação à distância; E-learning; Saúde pública,https://www.scielo.br/j/sdeb/a/LsD77FqrBzqfGSKqpMWWybK/?lang=pt
educação na pandemia,"Pandemia de covid-19, ensino remoto e a potencialização das desigualdades educacionais",O presente artigo discute a adoção de modalidades de ensino remoto no contexto da pandemia de covid-19 e a potencialização das desigualdades educacionais no Brasil.,pandemia; covid-19; desigualdades educacionais; ensino remoto; educação a distância (EAD,https://www.scielo.br/j/hcsm/a/PsyyZM3qmWPBQcBMm5zjGQh/?lang=pt
educação na pandemia,"Pandemia de covid-19, ensino remoto e a potencialização das desigualdades educacionais*",O presente artigo discute a adoção de modalidades de ensino remoto no contexto da pandemia de covid-19 e a potencialização das desigualdades educacionais no Brasil.,pandemia; covid-19; desigualdades educacionais; ensino remoto; educação a distância (EAD,https://www.scielo.br/j/hcsm/a/PsyyZM3qmWPBQcBMm5zjGQh/?lang=pt
educação na pandemia,Infodemia de covid-19 em idosos com acesso a mídias digitais: fatores associados a alterações psicopatológicas," Analisar o perfil sociodemográfico e repercussões da infodemia de covid-19 nas alterações psicopatológicas em idosos com acesso a mídias digitais.Estudo transversal por web-based survey na população acima de 60 anos que utiliza mídias digitais. A análise descritiva contemplou variáveis sociodemográficas e relacionadas à exposição a informações sobre covid-19; analisou-se um conjunto de sinais e sintomas de alterações psicopatológicas devido a essa exposição. Os dados foram analisados pelos testes Mann-Whitney, Kruskal-Wallis e coeficiente de correlação de Spearman. ",Idoso; Covid-19; Internet e Acesso à Informação; Redes Sociais; Pandemia por Covid-19,https://www.scielo.br/j/rbgg/a/jWz4BxhVw5jkpXzSd6pwkVs/?lang=pt
educação na pandemia,"ATIVIDADE FÍSICA PARA SAÚDE, COVID-19 E MÍDIAS SOCIAIS: O QUÊ, ONDE E POR QUÊ?","Este estudo concentra-se no uso de mídias sociais por professores de Educação Física (EF) para o ensino de atividade física para saúde durante a pandemia de covid-19. Com base na pesquisa apreciativa e utilizando uma metodologia de teoria fundamentada em dados (Grounded Theory), a análise de duas entrevistas e uma tarefa digital permitem apresentar três principais temas: (1) Mídias Sociais como Ferramenta de Ensino; (2) Um Legado Digital Duradouro?, e; (3) Desigualdade do Aprendizado Remoto. Esses temas destacam a urgência em utilizar mídias sociais quando os espaços físicos da EF foram removidos, o reconhecimento de que o ensino poderia ser diferente no futuro e os desafios inerentes aos espaços digitais. Em conclusão: (1) defendemos a efetiva formação inicial e continuada de professores e no uso positivo de tecnologias digitais; (2) sugerimos que atividades on-line futuras incorporadas ao aprendizado, e; (3) exigir aos governos ações para nivelar as desigualdades tecnológicas. ",Educação Física; Saúde; Inclusão Digital; Tecnologia Digital,https://www.scielo.br/j/mov/a/djwsMRCPTM8f3BxBxXz6mcJ/?lang=ptt
educação na pandemia,Experiência no ensino de patologia em tempos de pandemia,"A patologia é uma disciplina básica que exerce o link entre ciclos básicos e clínico-cirúrgicos. A partir do início de 2020, com a pandemia provocada pela síndrome respiratória aguda grave do coronavírus 2 (severe acute respiratory syndrome coronavirus 2 - Sars-CoV-2) e a implantação do ensino remoto emergencial (ERE), o curso de patologia em nossa instituição sofreu alterações e adaptações. O presente trabalho tem como objetivos relatar as atividades desenvolvidas em nossa faculdade para o ensino da patologia geral, dentro do contexto do ERE, e discutir como parte dessas estratégias poderá ser incorporada após o término da pandemia. ",Patologia; Microscopia; Educação de Graduação em Medicina; Covid-19,https://www.scielo.br/j/rbem/a/zgN8BhPBPcC3z5wB5LkKZ3j/?lang=pt
educação na pandemia,Necessidade de mudanças na educação médica e a percepção de professores antes da pandemia da Covid-19,"Este estudo objetiva analisar questões da educação médica evidenciadas pelas medidas de distanciamento social provocadas pela pandemia do coronavírus19 associadas às percepções de professores de medicina sobre esses mesmos aspectos, em um momento prévio à eclosão da crise sanitária. Realizamos um recorte de resultados de uma pesquisa de natureza qualitativa e conduzimos a discussão com base na triangulação de dados entre observações de campo e entrevistas com professores. A pandemia reacendeu debates sobre a relevância de conteúdos, a utilização de tecnologias digitais para fins pedagógicos e o valor do trabalho colaborativo. Além disso, resgatou questões que envolvem habilidades de comunicação e a saúde de estudantes nas práticas do cuidado. Discutiremos a experiência passada articulando-a às experiências recentes e o que poderemos recolher para (re)construirmos os rumos da formação dos médicos.",Epidemia pelo novo coronavírus; Educação médica; Pesquisa qualitativa; Percepção; Docentes,https://www.scielo.br/j/icse/a/JY4NfPYXxTRg6FKpHK7Qgzd/?lang=pt
educação na pandemia,Ser estudante de enfermagem em tempos de COVID-19,"Compreender como a pandemia afetou os estudantes de enfermagem nos contextos de Ensino Clínico.Este é um estudo de abordagem qualitativa, exploratória, transversal e descritiva. Os participantes foram 5 enfermeiros recém-licenciados que realizaram o último estágio clínico da sua licenciatura durante a pandemia de COVID-19. A análise de conteúdo ocorreu por meio da técnica para a análise dos achados das narrativas.Emergiram 5 categorias: Dificuldades sentidas na integração; Dificuldades na concretização do ensino clínico; Influência da pandemia nas expectativas dos estudantes ante o ensino clínico de integração à vida profissional; Receios, relacionadas com a COVID 19; e Sugestões para a formação dos licenciados em enfermagem, com vista a capacitá-los para a gestão de situações de pandemia.O ensino clínico, cujo objetivo é atingir as competências exigidas para o exercício profissional, foi vivenciado com ansiedade, medo e pressão, porém com o suporte possível por parte dos supervisores clínicos, eles próprios também sob pressão, dado o aumento da sobrecarga de trabalho provocada pela pandemia. O estudo permite fazer recomendações para a educação e investigação em enfermagem.",Pandemias; Enfermagem; Estágio Clínico; Estudantes; Supervisão de Enfermagem,https://www.scielo.br/j/ean/a/nGqxXmXcMqKvQHRJ4GfjCyw/?lang=pt
educação na pandemia,O ensino da prática médica no internato em tempo de pandemia: aprendizados e impactos emocionais,"Diante da pandemia ocasionada pelo vírus Sars-CoV-2, diversos profissionais da saúde depararam-se com novos desafios. Estudantes internos de Medicina também se encontram imersos nesse cenário e foram afetados no desempenho de seus papéis. Consiste este trabalho na observação dos aspectos físicos e psíquicos dos estudantes de Medicina que estão no período do internato nessa conjuntura. Desse modo, objetivou-se identificar os aprendizados e os impactos emocionais que os internos estão vivenciando no início de suas inserções no Sistema Único de Saúde diante da pandemia. Para tanto, realizou-se uma análise qualitativa das narrativas de 37 internos de Medicina da Universidade Estadual do Ceará (23 do sexo masculino e 14 do sexo feminino), com média de idade de 25,5 anos, que responderam a um questionário eletrônico que lhes fora enviado como estratégia para auxiliar a coordenação do curso a organizar o internato no contexto pandêmico. A relação dos internos com preceptores de Medicina foi destacada como causadora de sofrimento psíquico e carente de aprendizado antes e durante a pandemia. Observou-se a presença constante de sentimentos ambivalentes. Muitos dos internos de Medicina desejavam ajudar reconhecendo a importância de sua contribuição neste momento complexo da saúde no país. Todavia, alguns se sentiam inseguros com a situação crítica decorrente da pandemia, com receios acerca da segurança pessoal e familiar dos internos. Uma das razões pontuada foi a escassez de equipamentos de proteção individual (EPI). Vários internos ressaltaram o interesse em continuar o internato, e, por isso, é fundamental que os EPI estejam disponíveis para uso dos alunos. Diante do contexto de pandemia ou não, é imprescindível que o relacionamento entre preceptores e internos seja mais pedagógico e proporcione aprendizado aos estudantes. A apresentação desta experiência pode servir como recurso para a compreensão de cenários semelhantes, auxiliando a iluminar as relações do internato de Medicina que precisam passar por melhorias contínuas, quer em tempos de pandemia ou não, para favorecer a busca contínua por uma formação acadêmica de qualidade. ",Educação Médica; Internato e Residência; Pandemias; Infecções por Coronavírus; Emoções,https://www.scielo.br/j/rbem/a/SBxDMmrFPyGFbD5bW54PRfC/?lang=pt
